ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_3294623,129.904,90.0943,114.96,109.892,116.636,127.424,130.273,124.385,98.4134,108.295
ILMN_3294637,101.004,93.8652,100.522,108.578,101.995,112.323,100.041,100.58,99.6742,97.2639
ILMN_3294642,92.547,94.359,111.161,116.376,128.205,101.738,103.971,98.6614,112.017,105.918
ILMN_3294652,161.212,176.423,156.055,171.021,145.281,156.535,151.499,124.348,133.758,122.723
ILMN_3294741,94.1873,108.108,106.901,95.8535,97.775,94.9045,89.6038,91.6148,108.585,75.4448
ILMN_3294800,107.71,139.232,99.6709,105.743,114.705,150.32,114.34,132.16,142.187,134.485
ILMN_3294861,106.27,108.5,103.948,113.86,102.497,107.281,102.701,106.686,95.4103,104.426
ILMN_3294915,105.293,109.897,97.6792,107.311,106.117,107.0,114.998,98.2602,109.518,92.6262
ILMN_3294919,109.924,126.226,104.516,124.754,114.019,102.001,104.205,105.37,106.387,109.442
ILMN_3294965,131.673,144.155,109.284,126.46,159.811,106.695,131.021,95.8745,137.687,108.991
ILMN_3294968,103.384,98.0757,94.2456,121.507,106.382,95.2159,103.708,98.5584,81.0559,112.448
ILMN_3295030,89.394,92.7914,103.737,98.9451,99.4071,98.121,85.4334,87.9882,91.3052,90.7724
ILMN_3295075,1164.06,1153.66,1189.1,1811.93,2044.42,760.979,1234.54,717.394,1253.72,1889.05
ILMN_3295101,128.959,110.859,106.352,102.372,97.5331,95.6046,98.9926,107.948,117.395,100.402
ILMN_3295109,112.841,137.545,158.116,177.738,142.078,121.192,137.708,141.188,161.083,127.146
ILMN_3295146,100.691,92.1967,100.614,105.086,111.303,99.877,104.245,112.931,98.6724,98.6614
ILMN_3295235,90.2138,114.143,84.5892,103.494,100.106,93.4292,86.6977,94.2711,93.8709,98.4736
ILMN_3295419,107.721,124.927,137.414,135.736,136.044,104.887,115.513,128.752,122.994,125.279
ILMN_3295494,791.438,890.78,1150.56,1883.88,1425.23,453.016,621.829,433.966,1012.58,755.477
ILMN_3295503,100.786,96.2049,94.0953,97.832,101.127,105.252,99.7609,109.943,82.5568,90.4442
ILMN_3295558,98.4018,100.58,107.794,91.202,100.752,117.524,103.298,97.7154,104.278,114.27
ILMN_3295651,106.965,94.7907,99.2891,102.958,116.668,98.9495,108.324,100.019,110.159,112.278
ILMN_3295735,107.247,130.635,148.152,141.421,132.678,147.306,165.215,163.637,170.145,107.942
ILMN_3295838,97.7425,104.749,103.068,106.96,119.453,90.4396,96.6283,115.699,92.2562,109.877
ILMN_3295847,4347.89,4676.89,5841.69,4955.62,3927.2,6158.82,6804.14,6910.89,7286.78,4538.85
ILMN_3295874,128.078,115.876,110.516,102.562,113.276,122.837,119.995,117.218,105.336,111.348
ILMN_3295894,111.347,97.5192,113.268,112.736,93.3576,96.2579,107.886,117.379,97.5549,112.389
ILMN_3295917,86.6465,91.0434,93.4752,115.61,88.0124,95.7513,97.0948,95.4488,91.9435,87.7787
ILMN_3295922,109.425,97.45,107.491,114.295,145.274,108.827,109.836,88.9683,109.82,109.86
ILMN_3295946,103.867,102.175,98.3142,115.221,106.872,84.5748,94.6272,105.925,120.669,100.844
ILMN_3295967,95.8785,110.615,108.362,101.897,105.074,126.581,112.872,113.733,109.42,103.473
ILMN_3295970,105.498,90.5383,103.439,104.76,105.277,96.3155,113.41,99.5662,96.6502,132.06
ILMN_3296002,103.592,100.291,79.1176,101.704,112.885,93.8216,83.7914,90.2203,104.411,97.8251
ILMN_3296040,96.4756,99.7302,99.7077,97.3356,93.1703,90.5788,116.826,95.563,89.527,97.0835
ILMN_3296076,98.2318,93.9156,91.617,101.204,85.1345,101.863,109.955,87.8897,88.4595,108.202
ILMN_3296087,103.237,108.59,97.0478,97.8325,105.206,100.369,114.944,103.502,117.448,104.596
ILMN_3296096,114.181,106.306,120.37,125.298,123.636,135.554,125.302,129.67,125.491,110.995
ILMN_3296121,114.107,101.621,119.109,119.237,117.476,104.472,111.563,99.4048,133.125,123.383
ILMN_3296124,88.5791,102.553,92.9004,97.3961,89.7022,90.0977,94.6891,90.1781,81.3056,103.888
ILMN_3296181,113.059,128.577,115.677,110.471,116.052,96.4791,114.016,101.784,112.114,120.103
ILMN_3296184,97.8527,100.724,87.3395,89.2519,87.2525,95.8272,93.8389,112.644,113.218,97.2429
ILMN_3296208,99.3918,100.304,93.5702,101.744,87.8981,98.6178,100.355,89.9883,102.223,103.316
ILMN_3296219,100.722,92.1086,91.1069,98.0169,85.148,95.8154,99.2337,101.007,87.6746,96.6493
ILMN_3296267,97.2985,104.83,103.795,97.3625,93.5534,95.8591,113.041,92.6377,105.565,102.507
ILMN_3296272,103.403,111.621,87.4949,101.864,98.8058,102.899,106.233,97.8668,108.398,89.4538
ILMN_3296372,90.6297,92.1233,90.5876,91.2727,94.3037,87.8308,104.556,84.7449,93.1965,96.4448
ILMN_3296436,120.14,103.159,109.107,133.01,106.859,97.7909,87.5859,104.127,97.5109,100.968
ILMN_3296468,101.584,110.08,104.09,120.14,95.1659,99.5731,96.2735,113.631,94.2835,99.8524
ILMN_3296509,121.206,88.6398,86.535,102.924,106.311,97.0425,92.1318,92.7929,94.2823,115.71
